mode,scenario,task,immediate_acc,final_acc,delta
ewc_stateful,cil,Subject_10_Exercise_1,0.8169136878814298,0.5719267654751525,-0.24498692240627729
ewc_stateful,cil,Subject_10_Exercise_2,0.8051628764597418,0.7062077443146896,-0.09895513214505225
ewc_stateful,cil,Subject_10_Exercise_3,0.7974828375286042,0.7974828375286042,0.0
ewc_stateful,cil,Subject_4_Exercise_1,0.7419354838709677,0.6329555361813426,-0.10897994768962516
ewc_stateful,cil,Subject_4_Exercise_2,0.7854947756607252,0.7381684081130916,-0.04732636754763364
ewc_stateful,cil,Subject_4_Exercise_3,0.703416149068323,0.703416149068323,0.0
stateful,cil,Subject_9_Exercise_1,0.725609756097561,0.5583623693379791,-0.16724738675958184
stateful,cil,Subject_9_Exercise_2,0.8062730627306273,0.6746617466174661,-0.13161131611316113
stateful,cil,Subject_9_Exercise_3,0.7883184523809523,0.7883184523809523,0.0
ewc_stateful,dil,subject_1,0.8452173913043478,0.8217391304347826,-0.02347826086956517
ewc_stateful,dil,subject_2,0.8157205240174672,0.7353711790393013,-0.08034934497816593
ewc_stateful,dil,subject_3,0.8349344978165939,0.725764192139738,-0.10917030567685593
ewc_stateful,dil,subject_4,0.7079337401918047,0.6451612903225806,-0.06277244986922403
ewc_stateful,dil,subject_5,0.47560975609756095,0.5052264808362369,0.029616724738675937
ewc_stateful,dil,subject_6,0.6724587315377932,0.5377932232841007,-0.1346655082536925
ewc_stateful,dil,subject_7,0.7027027027027027,0.6346992153443767,-0.06800348735832606
ewc_stateful,dil,subject_8,0.8562717770034843,0.7543554006968641,-0.1019163763066202
ewc_stateful,dil,subject_9,0.6533101045296167,0.5252613240418118,-0.12804878048780488
ewc_stateful,dil,subject_10,0.7750653879686138,0.6573670444638187,-0.11769834350479513
ewc_stateful,dil,subject_11,0.5796344647519582,0.4691035683202785,-0.11053089643167974
ewc_stateful,dil,subject_12,0.6866840731070496,0.5265448215839861,-0.16013925152306352
ewc_stateful,dil,subject_13,0.814621409921671,0.4360313315926893,-0.37859007832898167
ewc_stateful,dil,subject_14,0.7009590235396687,0.6852659110723627,-0.01569311246730598
ewc_stateful,dil,subject_15,0.7942955920484011,0.7260155574762316,-0.06828003457216947
ewc_stateful,dil,subject_16,0.8448873483535528,0.7972270363951474,-0.04766031195840548
ewc_stateful,dil,subject_17,0.8696027633851469,0.7512953367875648,-0.11830742659758209
ewc_stateful,dil,subject_18,0.6938421509106678,0.6738941890719862,-0.019947961838681638
ewc_stateful,dil,subject_19,0.7868284228769498,0.45667244367417675,-0.330155979202773
ewc_stateful,dil,subject_20,0.8876404494382022,0.8461538461538461,-0.04148660328435605
ewc_stateful,dil,subject_21,0.8912855910267472,0.8498705780845557,-0.04141501294219152
ewc_stateful,dil,subject_22,0.5646551724137931,0.40086206896551724,-0.1637931034482759
ewc_stateful,dil,subject_23,0.7400346620450606,0.6559792027729636,-0.08405545927209701
ewc_stateful,dil,subject_24,0.825711820534944,0.8024158757549612,-0.023295944779982758
ewc_stateful,dil,subject_25,0.7847882454624028,0.8020743301642178,0.01728608470181503
ewc_stateful,dil,subject_26,0.8316062176165803,0.810880829015544,-0.020725388601036232
ewc_stateful,dil,subject_27,0.5308964316797214,0.5308964316797214,0.0
stateful,cil,Subject_4_Exercise_1,0.7035745422842197,0.5597210113339146,-0.14385353095030506
stateful,cil,Subject_4_Exercise_2,0.7928703134603565,0.7197295636140135,-0.073140749846343
stateful,cil,Subject_4_Exercise_3,0.6809006211180124,0.6809006211180124,0.0
ewc_stateful,cil,Subject_6_Exercise_1,0.7211120764552563,0.5473501303214596,-0.1737619461337967
ewc_stateful,cil,Subject_6_Exercise_2,0.7326367547633682,0.5992624462200369,-0.13337430854333132
