mode,scenario,task,immediate_acc,final_acc,delta
stateless,cil,Subject_6_Exercise_2,0.7885679164105716,0.5814382298709281,-0.20712968653964348
stateless,cil,Subject_6_Exercise_3,0.8781262405716554,0.8781262405716554,0.0
stateful,cil,Subject_9_Exercise_1,0.6881533101045296,0.5574912891986062,-0.13066202090592338
stateful,cil,Subject_9_Exercise_2,0.7509225092250923,0.7392373923739237,-0.011685116851168575
stateful,cil,Subject_9_Exercise_3,0.7730654761904762,0.7730654761904762,0.0
stateless,cil,Subject_2_Exercise_1,0.8663755458515284,0.3921397379912664,-0.47423580786026204
stateless,cil,Subject_2_Exercise_2,0.93711467324291,0.7755856966707768,-0.16152897657213316
stateless,cil,Subject_2_Exercise_3,0.9018867924528302,0.9018867924528302,0.0
stateless,cil,Subject_6_Exercise_1,0.8071242397914856,0.5577758470894874,-0.24934839270199827
stateless,cil,Subject_6_Exercise_2,0.8051628764597418,0.6066379840196681,-0.19852489244007376
stateless,cil,Subject_6_Exercise_3,0.9051210797935689,0.9051210797935689,0.0
stateless,cil,Subject_4_Exercise_1,0.8247602441150829,0.5335658238884046,-0.2911944202266783
stateless,cil,Subject_4_Exercise_2,0.8912108174554395,0.6877688998156115,-0.203441917639828
stateless,cil,Subject_4_Exercise_3,0.7989130434782609,0.7989130434782609,0.0
herding_stateful,cil,Subject_3_Exercise_1,0.8183406113537118,0.46200873362445416,-0.3563318777292577
herding_stateful,cil,Subject_3_Exercise_2,0.8360049321824907,0.8273736128236745,-0.008631319358816225
herding_stateful,cil,Subject_3_Exercise_3,0.7177762039660056,0.7177762039660056,0.0
ewc_stateful,cil,Subject_6_Exercise_1,0.5586446568201564,0.5499565595134666,-0.008688097306689846
ewc_stateful,cil,Subject_6_Exercise_2,0.023355869698832205,0.6846957590657652,0.661339889366933
ewc_stateful,cil,Subject_6_Exercise_3,0.7395791980944819,0.7395791980944819,0.0
ewc_stateful,cil,Subject_5_Exercise_1,0.6681184668989547,0.5871080139372822,-0.08101045296167253
